play_team,games,rim_rate,rim_pct,mid_rate,mid_pct,arc_rate,arc_pct,opp_rim_rate,opp_rim_pct,opp_mid_rate,opp_mid_pct,opp_arc_rate,opp_arc_pct
Central Michigan Chippewas,15,57.6,69.7,32.0,37.6,10.4,31.2,57.9,69.8,24.5,37.8,17.5,35.6
Central Penn Knights,3,42.9,60.0,48.1,33.0,9.0,28.6,64.3,72.7,24.0,39.2,11.7,19.4
Chaminade Silverswords,3,57.8,56.8,26.9,38.9,15.3,34.1,66.8,72.6,16.4,44.2,16.8,40.9
Champion Christian Tigers,5,32.0,56.3,34.3,27.4,33.8,27.8,61.9,74.5,16.8,42.2,21.3,38.1
Charleston Cougars,16,59.6,70.2,25.2,30.6,15.1,32.7,52.1,63.1,32.7,34.8,15.1,33.2
Charleston Southern Buccaneers,18,50.0,67.0,26.2,36.9,23.8,37.2,57.2,64.2,32.0,34.7,10.9,25.6
Charlotte 49ers,16,56.6,67.3,29.9,35.4,13.5,37.4,57.2,63.4,30.4,38.4,12.3,38.5
Chattanooga Mocs,15,47.2,70.0,34.6,41.5,18.2,30.5,56.7,70.7,30.5,35.1,12.8,30.4
Chicago St. Cougars,15,53.1,62.1,35.1,39.1,11.9,26.2,51.9,72.2,24.6,41.9,23.5,37.2
Cincinnati Bearcats,15,52.0,63.3,26.8,34.9,21.2,32.9,48.6,61.5,33.1,43.5,18.2,27.2
Cleary University Cougars,3,51.4,51.8,36.0,28.6,12.6,18.5,64.9,65.7,25.8,33.3,9.3,38.5
Clemson Tigers,16,58.7,69.2,27.2,38.9,14.1,30.1,53.5,66.7,32.1,33.2,14.4,28.2
Cleveland St. Vikings,16,56.5,66.0,24.2,37.9,19.2,37.6,53.6,71.2,29.6,34.4,16.8,33.5
Coastal Carolina Chanticleers,16,50.6,63.5,33.0,33.8,16.4,36.5,53.7,62.5,33.5,35.3,12.8,31.8
Coastal Georgia Mariner,3,46.9,50.9,31.9,33.3,21.2,35.4,56.9,65.6,22.5,43.5,20.7,38.6
Colgate Raiders,16,55.2,70.2,33.1,38.8,11.6,36.4,56.7,65.5,30.4,33.6,12.8,31.8
College Of Biblical Studies Ambassadors,9,40.1,51.6,39.1,27.7,20.9,25.2,63.0,75.8,21.3,40.1,15.7,36.6
Colorado Buffaloes,15,66.0,67.7,24.7,44.6,9.3,33.9,56.4,67.2,30.9,36.7,12.7,37.6
Colorado St. Rams,15,53.3,74.8,30.1,42.5,16.7,43.8,49.1,67.6,31.6,38.0,19.3,33.5
Columbia Lions,15,61.0,66.4,23.1,40.7,15.9,40.5,57.5,59.0,27.6,39.4,14.9,29.7
Coppin St. Eagles,18,52.6,62.2,36.2,32.5,11.2,26.2,53.9,70.1,28.3,40.5,17.7,39.8
Cornell Big Red,14,51.0,70.1,30.7,43.7,18.3,41.7,58.8,66.3,25.7,38.5,15.5,39.8
Creighton Bluejays,16,50.0,71.0,25.8,38.1,24.2,35.6,56.6,61.8,31.1,33.9,12.3,36.7
Dakota St. Trojans,3,57.4,67.0,32.1,34.4,10.5,45.0,62.5,71.4,20.5,37.0,17.0,34.2
Dallas Christian Crusaders,3,54.5,51.2,28.8,18.8,16.7,18.9,62.3,69.7,21.5,40.4,16.2,41.9
Dartmouth Big Green,14,52.4,70.4,29.3,40.6,18.3,34.2,54.6,64.1,29.3,36.6,16.1,28.2
Davidson Wildcats,15,55.5,65.6,27.0,41.5,17.5,36.6,58.1,66.3,23.9,31.9,18.0,38.3
Dayton Flyers,16,63.0,69.7,21.5,30.6,15.5,34.8,56.3,61.4,24.2,36.2,19.5,36.8
DePaul Blue Demons,16,57.3,65.1,26.7,43.9,16.1,31.2,57.7,62.3,27.7,37.3,14.7,32.0
Delaware Blue Hens,14,51.5,64.0,31.6,40.4,16.9,33.3,53.2,64.2,30.0,38.1,16.8,31.8
Delaware St. Hornets,15,53.9,59.2,35.3,30.4,10.7,37.2,56.6,67.8,26.2,34.3,17.2,37.4
Denver Pioneers,17,56.3,72.1,32.6,43.0,11.1,34.7,60.4,65.9,28.1,40.1,11.5,42.0
Detroit Mercy Titans,14,55.4,66.6,31.0,36.2,13.6,30.8,55.8,67.5,27.6,33.0,16.6,31.2
Drake Bulldogs,16,54.3,69.5,29.9,39.4,15.8,41.8,51.6,64.3,33.7,34.1,14.8,38.9
Drexel Dragons,16,57.1,60.6,24.3,35.3,18.5,32.6,59.6,66.2,28.5,39.8,11.9,27.7
Duke Blue Devils,15,62.1,71.4,23.2,36.1,14.7,38.1,50.4,62.6,34.6,32.8,15.1,26.7
Duquesne Dukes,16,58.8,69.0,22.1,41.5,19.1,36.4,57.3,67.9,26.0,43.0,16.7,33.5
East Carolina Pirates,15,62.6,63.8,28.5,32.0,8.9,22.3,53.5,69.4,33.5,39.9,12.9,34.9
East Tennessee St. Buccaneers,16,54.6,69.6,26.5,44.3,18.9,36.4,49.4,65.8,25.5,36.9,25.1,30.2
East Texas A&M Lions,16,53.4,66.1,25.5,37.2,21.1,32.1,61.2,64.0,22.1,40.7,16.7,33.5
