play_team,games,rim_rate,rim_pct,mid_rate,mid_pct,arc_rate,arc_pct,opp_rim_rate,opp_rim_pct,opp_mid_rate,opp_mid_pct,opp_arc_rate,opp_arc_pct
Abilene Christian Wildcats,15,58.8,65.3,28.6,38.6,12.6,32.6,61.0,68.2,24.4,41.3,14.7,35.9
Air Force Falcons,14,62.4,61.0,24.2,33.9,13.4,28.6,57.3,65.3,29.6,38.0,13.2,33.1
Akron Zips,14,56.8,71.2,25.4,39.9,17.8,41.0,51.7,65.1,28.8,30.0,19.5,39.3
Alabama A&M Bulldogs,15,58.4,64.2,31.6,37.7,9.9,27.2,56.2,68.6,29.7,33.4,14.2,31.9
Alabama Crimson Tide,14,54.3,70.2,23.9,39.1,21.9,35.7,59.7,60.1,27.3,35.1,12.9,34.6
Alabama St. Hornets,15,56.7,65.2,25.9,34.5,17.4,38.3,57.6,69.9,23.8,38.1,18.6,37.7
Alcorn St. Braves,13,48.2,59.5,37.0,32.1,14.8,41.8,61.1,71.0,24.3,44.3,14.6,33.1
American University Eagles,15,55.9,67.3,26.4,38.7,17.7,36.1,60.8,67.5,24.7,34.3,14.4,37.6
App St. Mountaineers,16,57.4,64.7,25.7,37.0,17.0,31.6,56.1,62.9,28.9,33.1,15.0,28.0
Arizona St. Sun Devils,14,60.4,69.4,24.9,34.1,14.7,37.3,57.3,69.5,24.7,37.1,17.9,29.9
Arizona Wildcats,14,67.2,70.4,25.5,40.3,7.3,37.5,53.2,59.1,37.0,35.8,9.8,29.5
Arkansas Baptist Buffaloes,3,49.1,62.6,37.2,36.8,13.7,21.9,67.8,62.3,23.0,29.0,9.3,32.0
Arkansas Razorbacks,14,55.0,72.5,32.3,44.1,12.7,35.3,53.5,64.2,32.9,30.0,13.6,34.9
Arkansas St. Red Wolves,15,59.9,71.1,26.8,32.3,13.4,32.9,58.7,66.1,29.9,37.2,11.4,33.3
Arkansas-Pine Bluff Golden Lions,15,56.2,67.5,24.7,34.2,19.1,34.6,60.8,68.9,21.8,37.4,17.4,34.0
Arlington Baptist Patriots,3,47.7,58.9,40.9,31.2,11.5,33.3,64.1,80.2,19.0,53.7,16.9,37.5
Army Black Knights,15,50.0,65.8,23.6,37.2,26.4,32.2,54.4,70.7,26.9,35.6,18.7,32.4
Auburn Tigers,14,60.1,69.5,24.2,40.1,15.7,34.0,54.2,68.0,27.6,39.2,18.2,34.2
Austin Peay Governors,13,57.4,64.6,25.3,33.0,17.3,38.0,54.2,63.6,28.2,37.4,17.6,28.7
BYU Cougars,13,58.2,71.5,26.7,40.1,15.1,38.4,52.1,58.8,33.0,34.0,14.9,29.7
Ball St. Cardinals,14,57.8,62.2,26.0,31.5,16.2,31.4,54.6,65.8,27.6,34.6,17.8,36.0
Baylor Bears,13,61.6,70.3,24.7,39.9,13.6,42.6,53.3,64.7,33.6,36.2,13.0,31.1
Bellarmine Knights,14,65.9,73.7,21.4,47.1,12.7,50.4,49.7,72.5,31.2,37.9,19.2,38.9
Belmont Bruins,16,59.8,68.0,24.2,41.2,16.0,41.2,48.3,64.6,34.6,32.3,17.1,30.0
Bethesda University Flames,6,42.4,51.7,38.3,25.4,19.3,26.3,66.0,74.1,18.9,40.9,15.1,37.0
Bethune-Cookman Wildcats,14,57.0,63.3,30.1,36.7,12.9,36.7,62.9,68.3,23.1,38.1,14.0,38.7
Binghamton Bearcats,16,66.1,69.6,21.6,34.7,12.3,29.8,58.6,65.2,27.0,41.2,14.4,37.1
Bob Jones Bruins,3,37.1,55.1,44.3,26.9,18.6,30.8,56.6,75.5,27.0,48.6,16.4,37.8
Boise St. Broncos,14,56.7,67.2,30.2,37.9,13.1,37.8,51.3,65.0,36.4,40.8,12.4,31.3
Boston College Eagles,13,54.2,62.9,29.1,34.5,16.7,25.8,58.1,59.3,27.6,34.5,14.2,27.9
Boston University Terriers,15,54.9,64.4,26.3,42.9,18.7,35.2,58.3,66.8,24.8,38.8,16.9,39.8
Bowling Green Falcons,15,67.4,69.3,18.3,39.3,14.3,34.4,57.7,67.0,24.7,34.1,17.6,33.7
Bradley Braves,16,57.3,66.3,29.3,32.9,13.4,40.4,56.1,66.5,30.2,39.2,13.7,31.7
Brown Bears,14,56.1,60.6,26.8,34.8,17.2,37.0,54.7,64.8,28.3,30.6,17.0,34.1
Bryan (TN) Lions,4,47.3,51.2,33.5,28.7,19.2,30.0,55.2,76.6,23.4,35.3,21.4,44.9
Bryant Bulldogs,15,49.6,64.9,32.6,33.4,17.8,27.4,59.4,62.1,25.2,34.0,15.4,31.6
Bucknell Bison,15,55.0,61.8,28.4,33.0,16.6,29.4,58.6,65.8,28.6,41.5,12.8,38.0
Buffalo Bulls,15,60.1,70.7,26.1,38.5,13.8,41.1,55.4,67.3,25.6,34.9,19.0,35.2
Butler Bulldogs,15,62.7,65.3,21.4,40.9,15.9,36.8,57.5,64.7,26.6,35.9,15.8,30.9
Cal Poly Mustangs,16,58.1,67.7,21.4,40.6,20.6,34.2,55.7,66.9,24.8,41.6,19.5,31.3
Cal St. Bakersfield Roadrunners,16,61.2,65.6,27.0,36.1,11.8,28.8,60.5,64.9,25.4,39.0,14.1,34.6
