play_team,games,rim_rate,rim_pct,mid_rate,mid_pct,arc_rate,arc_pct,opp_rim_rate,opp_rim_pct,opp_mid_rate,opp_mid_pct,opp_arc_rate,opp_arc_pct
Abilene Christian Wildcats,17,58.9,67.3,28.4,41.2,12.8,33.3,62.3,69.6,24.1,42.7,13.6,37.0
Air Force Falcons,16,61.8,62.9,24.9,32.4,13.3,29.3,57.0,66.4,28.6,38.6,14.4,36.3
Akron Zips,16,55.9,71.9,26.0,39.3,18.0,40.8,52.3,66.4,29.2,30.5,18.5,39.1
Alabama A&M Bulldogs,16,58.0,64.7,31.8,37.9,10.2,25.8,56.3,68.2,30.0,33.7,13.7,31.7
Alabama Crimson Tide,16,54.3,71.0,23.3,39.2,22.4,34.5,60.2,62.4,27.1,36.3,12.7,34.8
Alabama St. Hornets,16,57.4,64.8,25.6,33.4,16.9,37.2,58.3,70.2,23.4,37.7,18.3,37.0
Alcorn St. Braves,14,48.9,59.7,37.0,32.5,14.2,41.3,60.4,71.1,24.9,44.0,14.6,31.7
American University Eagles,17,56.3,68.1,26.7,37.6,17.0,36.4,61.0,68.9,25.1,35.2,14.0,37.4
App St. Mountaineers,18,56.7,64.7,26.6,37.4,16.8,29.4,55.3,63.1,29.9,33.9,14.9,29.9
Arizona St. Sun Devils,16,60.3,70.6,24.9,33.7,14.8,33.8,57.3,69.7,24.5,38.2,18.2,32.2
Arizona Wildcats,16,67.3,71.0,25.3,39.5,7.4,38.2,53.5,60.5,36.2,34.8,10.2,29.4
Arkansas Baptist Buffaloes,3,49.1,62.6,37.2,36.8,13.7,21.9,67.8,62.3,23.0,29.0,9.3,32.0
Arkansas Razorbacks,16,55.1,73.4,31.8,43.7,13.2,35.4,53.4,66.7,32.8,31.7,13.8,35.4
Arkansas St. Red Wolves,17,59.8,71.6,27.0,32.7,13.2,32.6,58.3,67.3,30.4,37.5,11.3,32.5
Arkansas-Pine Bluff Golden Lions,16,56.7,67.7,24.8,34.5,18.5,34.3,60.9,69.0,22.3,36.6,16.8,33.5
Arlington Baptist Patriots,3,47.7,58.9,40.9,31.2,11.5,33.3,64.1,80.2,19.0,53.7,16.9,37.5
Army Black Knights,17,49.4,66.0,23.5,37.3,27.2,33.3,55.0,71.3,25.3,36.8,19.7,34.2
Auburn Tigers,16,60.5,70.3,24.1,39.2,15.4,35.7,54.0,68.3,28.0,40.7,18.0,33.6
Austin Peay Governors,15,57.1,65.8,25.7,34.9,17.3,37.3,53.0,64.0,28.7,37.9,18.3,29.7
BYU Cougars,15,58.7,72.9,25.6,40.7,15.8,37.5,52.8,61.0,32.0,34.1,15.1,28.5
Ball St. Cardinals,16,57.8,63.1,26.2,32.2,16.0,31.9,54.4,67.2,27.7,36.1,17.9,37.4
Baylor Bears,15,60.4,70.9,25.8,37.7,13.7,39.4,51.7,64.9,34.7,35.8,13.6,32.1
Bellarmine Knights,16,63.3,74.3,22.5,49.6,14.2,52.5,49.3,72.3,31.6,37.6,19.1,39.6
Belmont Bruins,18,59.0,68.8,24.3,40.1,16.8,41.4,47.2,64.8,33.0,32.1,19.7,32.5
Bethesda University Flames,6,42.4,51.7,38.3,25.4,19.3,26.3,66.0,74.1,18.9,40.9,15.1,37.0
