Date,Visitor,Home,V_Score,H_Score,Predicted_Spread,Market_Spread,Spread_Edge,Predicted_Total,Market_Total,Total_Edge,Bet_Signals
2025-12-30,East Tennessee St.,The Citadel,73.4,60.1,-13.2,12.5,0.7,133.9,145.5,11.6,TOTAL UNDER 145.5 (5.0%)
2025-12-30,Western Michigan,Toledo,80.6,83.9,3.3,-10.5,7.2,151.2,165.5,14.3,TOTAL UNDER 165.5 (5.0%); SPREAD Western Michigan +10.5 (0.0%)
2025-12-30,Duquesne,Davidson,73.9,67.6,-6.3,-3.5,9.8,141.0,152.5,11.5,TOTAL UNDER 152.5 (5.0%); SPREAD Duquesne +3.5 (5.0%)
2025-12-30,Florida State,North Carolina,77.7,82.8,5.1,-14.5,9.4,160.2,161.5,1.3,SPREAD Florida State +14.5 (0.0%)
2025-12-30,Miami OH,Bowling Green,80.2,72.1,-8.1,-5.5,13.6,152.2,154.5,2.3,SPREAD Miami OH +5.5 (5.0%)
2025-12-30,Milwaukee,Wisconsin,73.2,83.6,10.4,-21.5,11.1,152.8,156.5,3.7,TOTAL UNDER 156.5 (0.0%); SPREAD Milwaukee +21.5 (0.0%)
2025-12-30,Pittsburgh,Miami FL,85.3,74.8,-10.5,-10.5,21.0,146.6,146.5,0.1,SPREAD Pittsburgh +10.5 (5.0%)
2025-12-30,Seton Hall,Marquette,64.5,76.8,12.3,-2.5,9.8,141.5,141.5,0.0,SPREAD Marquette -2.5 (5.0%)
2025-12-30,Temple,Charlotte,77.3,72.7,-4.6,-1.5,6.1,146.0,143.5,2.5,SPREAD Temple +1.5 (5.0%)
2025-12-30,UMass,Eastern Michigan,78.3,79.7,1.4,1.5,2.9,151.2,147.5,3.7,TOTAL OVER 147.5 (5.0%); SPREAD Eastern Michigan +1.5 (3.8%)
2025-12-30,South Carolina St.,Tennessee,61.6,89.4,27.8,-45.5,17.7,141.9,146.5,4.6,TOTAL UNDER 146.5 (0.0%); SPREAD South Carolina St. +45.5 (0.0%)
2025-12-30,Tennessee St.,Tennessee Tech,77.4,67.1,-10.4,-3.5,13.9,144.5,152.5,8.0,TOTAL UNDER 152.5 (5.0%); SPREAD Tennessee St. +3.5 (5.0%)
2025-12-30,Louisville,California,84.2,73.4,-10.8,7.5,3.3,152.6,159.5,6.9,TOTAL UNDER 159.5 (5.0%); SPREAD Louisville -7.5 (5.0%)
2025-12-30,Butler,Creighton,67.9,78.6,10.7,-5.5,5.2,146.1,153.5,7.4,TOTAL UNDER 153.5 (5.0%); SPREAD Creighton -5.5 (5.0%)
2025-12-30,Nevada,Colorado St.,64.1,74.1,10.0,3.5,13.5,137.8,145.5,7.7,TOTAL UNDER 145.5 (5.0%); SPREAD Colorado St. +3.5 (5.0%)
2025-12-30,New Hampshire,Nebraska,55.6,96.7,41.1,-31.5,9.6,149.4,144.5,4.9,TOTAL OVER 144.5 (5.0%); SPREAD Nebraska -31.5 (5.0%)
2025-12-30,Notre Dame,Stanford,68.4,74.4,6.0,-5.5,0.5,140.5,145.5,5.0,TOTAL UNDER 145.5 (5.0%)
2025-12-30,Saint Mary's,Pepperdine,87.3,60.4,-27.0,19.5,7.5,137.2,141.5,4.3,TOTAL UNDER 141.5 (0.0%); SPREAD Saint Mary's -19.5 (5.0%)
2025-12-30,Utah St.,Fresno St.,88.4,74.5,-13.9,13.5,0.4,156.0,152.5,3.5,TOTAL OVER 152.5 (5.0%)
